event_id,competition_id,discipline_id,gender,event_class,event_date
world_aquatics_championships_2023_men_diving-3-m-springboard,world_aquatics_championships,aquatics_diving-3-m-springboard,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_diving-3-m-springboard,world_aquatics_championships,aquatics_diving-3-m-springboard,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_diving-3-m-springboard-synchro,world_aquatics_championships,aquatics_diving-3-m-springboard-synchro,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_diving-3-m-springboard-synchro,world_aquatics_championships,aquatics_diving-3-m-springboard-synchro,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_mixed_diving-team,world_aquatics_championships,aquatics_diving-team,mixed,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_high-diving-tournament,world_aquatics_championships,aquatics_high-diving-tournament,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_high-diving-tournament,world_aquatics_championships,aquatics_high-diving-tournament,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_mixed_open-water-swimming-team,world_aquatics_championships,aquatics_open-water-swimming-team,mixed,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-200-m-breaststroke,world_aquatics_championships,aquatics_swimming-200-m-breaststroke,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-200-m-breaststroke,world_aquatics_championships,aquatics_swimming-200-m-breaststroke,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-200-m-butterfly,world_aquatics_championships,aquatics_swimming-200-m-butterfly,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-200-m-butterfly,world_aquatics_championships,aquatics_swimming-200-m-butterfly,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-200-m-freestyle,world_aquatics_championships,aquatics_swimming-200-m-freestyle,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-200-m-freestyle,world_aquatics_championships,aquatics_swimming-200-m-freestyle,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-200-m-individual-medley,world_aquatics_championships,aquatics_swimming-200-m-individual-medley,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-200-m-individual-medley,world_aquatics_championships,aquatics_swimming-200-m-individual-medley,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_mixed_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,mixed,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_mixed_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,mixed,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-4-x-200-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-200-m-freestyle-relay,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-4-x-200-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-200-m-freestyle-relay,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-400-m-freestyle,world_aquatics_championships,aquatics_swimming-400-m-freestyle,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-400-m-freestyle,world_aquatics_championships,aquatics_swimming-400-m-freestyle,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-400-m-individual-medley,world_aquatics_championships,aquatics_swimming-400-m-individual-medley,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-400-m-individual-medley,world_aquatics_championships,aquatics_swimming-400-m-individual-medley,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-50-m-backstroke,world_aquatics_championships,aquatics_swimming-50-m-backstroke,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-50-m-backstroke,world_aquatics_championships,aquatics_swimming-50-m-backstroke,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-50-m-breaststroke,world_aquatics_championships,aquatics_swimming-50-m-breaststroke,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-50-m-breaststroke,world_aquatics_championships,aquatics_swimming-50-m-breaststroke,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-50-m-butterfly,world_aquatics_championships,aquatics_swimming-50-m-butterfly,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-50-m-butterfly,world_aquatics_championships,aquatics_swimming-50-m-butterfly,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-50-m-freestyle,world_aquatics_championships,aquatics_swimming-50-m-freestyle,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-50-m-freestyle,world_aquatics_championships,aquatics_swimming-50-m-freestyle,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_swimming-800-m-freestyle,world_aquatics_championships,aquatics_swimming-800-m-freestyle,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_swimming-800-m-freestyle,world_aquatics_championships,aquatics_swimming-800-m-freestyle,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_men_water-polo-tournament,world_aquatics_championships,aquatics_water-polo-tournament,men,podium_top3_by_event,2023-01-01
world_aquatics_championships_2023_women_water-polo-tournament,world_aquatics_championships,aquatics_water-polo-tournament,women,podium_top3_by_event,2023-01-01
world_aquatics_championships_2024_mixed_artistic-swimming-duet-free-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-free-routine,mixed,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_artistic-swimming-duet-free-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-free-routine,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_mixed_artistic-swimming-duet-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-technical-routine,mixed,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_artistic-swimming-duet-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-technical-routine,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_artistic-swimming-solo-free-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-free-routine,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_artistic-swimming-solo-free-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-free-routine,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_artistic-swimming-solo-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-technical-routine,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_artistic-swimming-solo-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-technical-routine,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_diving-1-m-springboard,world_aquatics_championships,aquatics_diving-1-m-springboard,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_diving-1-m-springboard,world_aquatics_championships,aquatics_diving-1-m-springboard,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_diving-10-m-platform,world_aquatics_championships,aquatics_diving-10-m-platform,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_diving-10-m-platform,world_aquatics_championships,aquatics_diving-10-m-platform,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_diving-10-m-platform-synchro,world_aquatics_championships,aquatics_diving-10-m-platform-synchro,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_diving-10-m-platform-synchro,world_aquatics_championships,aquatics_diving-10-m-platform-synchro,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_diving-3-m-springboard,world_aquatics_championships,aquatics_diving-3-m-springboard,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_diving-3-m-springboard,world_aquatics_championships,aquatics_diving-3-m-springboard,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_diving-3-m-springboard-synchro,world_aquatics_championships,aquatics_diving-3-m-springboard-synchro,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_diving-3-m-springboard-synchro,world_aquatics_championships,aquatics_diving-3-m-springboard-synchro,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_mixed_diving-team,world_aquatics_championships,aquatics_diving-team,mixed,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_high-diving-tournament,world_aquatics_championships,aquatics_high-diving-tournament,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_high-diving-tournament,world_aquatics_championships,aquatics_high-diving-tournament,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_mixed_open-water-swimming-team,world_aquatics_championships,aquatics_open-water-swimming-team,mixed,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-200-m-breaststroke,world_aquatics_championships,aquatics_swimming-200-m-breaststroke,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-200-m-breaststroke,world_aquatics_championships,aquatics_swimming-200-m-breaststroke,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-200-m-butterfly,world_aquatics_championships,aquatics_swimming-200-m-butterfly,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-200-m-butterfly,world_aquatics_championships,aquatics_swimming-200-m-butterfly,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-200-m-freestyle,world_aquatics_championships,aquatics_swimming-200-m-freestyle,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-200-m-freestyle,world_aquatics_championships,aquatics_swimming-200-m-freestyle,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-200-m-individual-medley,world_aquatics_championships,aquatics_swimming-200-m-individual-medley,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-200-m-individual-medley,world_aquatics_championships,aquatics_swimming-200-m-individual-medley,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_mixed_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,mixed,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_mixed_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,mixed,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-4-x-200-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-200-m-freestyle-relay,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-4-x-200-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-200-m-freestyle-relay,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-400-m-freestyle,world_aquatics_championships,aquatics_swimming-400-m-freestyle,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-400-m-freestyle,world_aquatics_championships,aquatics_swimming-400-m-freestyle,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-400-m-individual-medley,world_aquatics_championships,aquatics_swimming-400-m-individual-medley,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-400-m-individual-medley,world_aquatics_championships,aquatics_swimming-400-m-individual-medley,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-50-m-backstroke,world_aquatics_championships,aquatics_swimming-50-m-backstroke,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-50-m-backstroke,world_aquatics_championships,aquatics_swimming-50-m-backstroke,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-50-m-breaststroke,world_aquatics_championships,aquatics_swimming-50-m-breaststroke,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-50-m-breaststroke,world_aquatics_championships,aquatics_swimming-50-m-breaststroke,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-50-m-butterfly,world_aquatics_championships,aquatics_swimming-50-m-butterfly,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-50-m-butterfly,world_aquatics_championships,aquatics_swimming-50-m-butterfly,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-50-m-freestyle,world_aquatics_championships,aquatics_swimming-50-m-freestyle,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-50-m-freestyle,world_aquatics_championships,aquatics_swimming-50-m-freestyle,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_swimming-800-m-freestyle,world_aquatics_championships,aquatics_swimming-800-m-freestyle,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_swimming-800-m-freestyle,world_aquatics_championships,aquatics_swimming-800-m-freestyle,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_men_water-polo-tournament,world_aquatics_championships,aquatics_water-polo-tournament,men,podium_top3_by_event,2024-01-01
world_aquatics_championships_2024_women_water-polo-tournament,world_aquatics_championships,aquatics_water-polo-tournament,women,podium_top3_by_event,2024-01-01
world_aquatics_championships_2025_mixed_artistic-swimming-duet-free-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-free-routine,mixed,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_artistic-swimming-duet-free-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-free-routine,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_mixed_artistic-swimming-duet-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-technical-routine,mixed,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_artistic-swimming-duet-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-duet-technical-routine,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_artistic-swimming-solo-free-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-free-routine,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_artistic-swimming-solo-free-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-free-routine,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_artistic-swimming-solo-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-technical-routine,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_artistic-swimming-solo-technical-routine,world_aquatics_championships,aquatics_artistic-swimming-solo-technical-routine,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_diving-1-m-springboard,world_aquatics_championships,aquatics_diving-1-m-springboard,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_diving-1-m-springboard,world_aquatics_championships,aquatics_diving-1-m-springboard,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_diving-10-m-platform,world_aquatics_championships,aquatics_diving-10-m-platform,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_diving-10-m-platform,world_aquatics_championships,aquatics_diving-10-m-platform,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_diving-10-m-platform-synchro,world_aquatics_championships,aquatics_diving-10-m-platform-synchro,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_diving-10-m-platform-synchro,world_aquatics_championships,aquatics_diving-10-m-platform-synchro,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_diving-3-m-springboard,world_aquatics_championships,aquatics_diving-3-m-springboard,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_diving-3-m-springboard,world_aquatics_championships,aquatics_diving-3-m-springboard,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_diving-3-m-springboard-synchro,world_aquatics_championships,aquatics_diving-3-m-springboard-synchro,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_diving-3-m-springboard-synchro,world_aquatics_championships,aquatics_diving-3-m-springboard-synchro,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_mixed_diving-team,world_aquatics_championships,aquatics_diving-team,mixed,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_high-diving-tournament,world_aquatics_championships,aquatics_high-diving-tournament,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_high-diving-tournament,world_aquatics_championships,aquatics_high-diving-tournament,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_open-water-swimming-10-km,world_aquatics_championships,aquatics_open-water-swimming-10-km,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_open-water-swimming-3-km-knockout-sprints,world_aquatics_championships,aquatics_open-water-swimming-3-km-knockout-sprints,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_open-water-swimming-3-km-knockout-sprints,world_aquatics_championships,aquatics_open-water-swimming-3-km-knockout-sprints,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_open-water-swimming-5-km,world_aquatics_championships,aquatics_open-water-swimming-5-km,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_mixed_open-water-swimming-team,world_aquatics_championships,aquatics_open-water-swimming-team,mixed,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-100-m-backstroke,world_aquatics_championships,aquatics_swimming-100-m-backstroke,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-100-m-breaststroke,world_aquatics_championships,aquatics_swimming-100-m-breaststroke,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-100-m-butterfly,world_aquatics_championships,aquatics_swimming-100-m-butterfly,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-100-m-freestyle,world_aquatics_championships,aquatics_swimming-100-m-freestyle,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-1500-m-freestyle,world_aquatics_championships,aquatics_swimming-1500-m-freestyle,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-200-m-backstroke,world_aquatics_championships,aquatics_swimming-200-m-backstroke,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-200-m-breaststroke,world_aquatics_championships,aquatics_swimming-200-m-breaststroke,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-200-m-breaststroke,world_aquatics_championships,aquatics_swimming-200-m-breaststroke,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-200-m-butterfly,world_aquatics_championships,aquatics_swimming-200-m-butterfly,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-200-m-butterfly,world_aquatics_championships,aquatics_swimming-200-m-butterfly,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-200-m-freestyle,world_aquatics_championships,aquatics_swimming-200-m-freestyle,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-200-m-freestyle,world_aquatics_championships,aquatics_swimming-200-m-freestyle,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-200-m-individual-medley,world_aquatics_championships,aquatics_swimming-200-m-individual-medley,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-200-m-individual-medley,world_aquatics_championships,aquatics_swimming-200-m-individual-medley,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_mixed_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,mixed,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-4-x-100-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-freestyle-relay,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,men,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_mixed_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,mixed,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_women_swimming-4-x-100-m-medley-relay,world_aquatics_championships,aquatics_swimming-4-x-100-m-medley-relay,women,podium_top3_by_event,2025-01-01
world_aquatics_championships_2025_men_swimming-4-x-200-m-freestyle-relay,world_aquatics_championships,aquatics_swimming-4-x-200-m-freestyle-relay,men,podium_top3_by_event,2025-01-01
